"id","groups_count","uniq_cities","triggers_words_count","photos_count","max_percent_photos_in_day","posts_count","max_percent_posts_in_day","posts_without_views","societies_flag","group_without_photo_count","bot_flag"
2434,169,0,0,17,17.6470585,10,20,0,false,7,false
2435,337,0,0,29,7.14285755,3,33.3333359,0,false,19,false
2436,41,0,0,1,100,6,16.6666679,0,false,0,false
2437,234,0,4,182,5.49450541,970,8,0,false,12,false
2438,173,0,0,12,8.33333397,4,25,0,true,6,false
2439,316,0,0,10,20,0,0,0,true,17,false
2440,81,0,0,5,20,4,50,0,false,4,false
2441,471,0,2,314,3,1708,4,0,true,21,false
2442,187,0,0,23,8.69565201,7,14.2857151,0,true,1,false
2443,104,0,0,9,11.1111116,290,2,1,false,3,false
2444,35,0,0,26,7.69230795,26,3.84615397,0,false,1,false
2445,117,0,0,17,5.88235283,6,16.6666679,0,false,1,false
2446,38,0,0,61,4.91803265,11,18.181818,0,true,0,false
2447,159,0,0,607,4,3231,4,0,true,2,false
2448,88,0,0,48,10.416666,92,5.43478251,0,false,1,false
2449,209,0,1,12,16.6666679,58,3.4482758,0,false,0,false
2450,66,0,0,14,7.14285755,1,100,0,false,0,false
2451,51,0,0,11,9.090909,2,50,0,true,0,false
2452,88,0,0,295,26.4999981,186,5,0,false,1,false
2453,85,0,0,1,100,401,4,0,false,4,false
2454,221,0,0,3,33.3333359,15,6.66666698,0,false,19,false
2455,265,0,0,25,8,294,9,0,false,10,false
2456,42,0,0,59,8.47457695,45,6.66666698,0,false,0,false
2457,56,0,2,33,6.060606,28,7.14285755,0,false,0,false
2458,100,0,0,5,20,5,20,0,false,0,false
2459,167,0,0,0,0,0,0,0,false,6,false
2460,170,12,0,112,53.5714264,1001,5,0,false,8,false
2461,99,0,0,50,38,5,20,0,false,1,false
2462,201,0,0,4,25,5,20,0,false,5,false
2463,25,0,0,35,22.8571434,548,2,0,false,0,false
2465,76,0,0,305,13,210,19,0,false,0,false
2248,472,13,5,29,6.89655161,575,7,0,false,47,false
2466,121,0,1,24,8.33333397,10,20,0,false,0,false
2467,93,0,0,29,6.89655161,5,20,0,false,0,false
2469,293,0,0,24,8.33333397,33,6.060606,1,false,1,false
2470,53,0,0,14,14.2857151,12,16.6666679,0,false,0,false
2471,51,0,2,39,5.1282053,32,9.375,0,true,7,false
2472,52,0,1,4,25,17,5.88235283,0,false,0,false
2473,61,0,0,16,6.25,6,33.3333359,0,true,0,false
2474,134,0,0,1,100,1,100,0,true,0,false
2475,259,0,0,13,15.3846159,36,5.55555582,0,false,4,false
2476,76,0,0,21,9.52380943,22,4.5454545,0,true,1,false
2477,233,0,2,210,10.5,4020,5,1,false,5,false
2478,120,0,0,57,12.2807016,5,40,0,false,0,false
2479,64,0,0,1,100,1,100,0,true,0,false
2480,48,0,0,58,6.89655161,34,8.82352924,0,false,0,false
2481,25,0,0,4,25,5,20,0,true,0,false
2482,34,0,0,29,6.89655161,36,5.55555582,0,false,0,false
2483,136,0,1,276,6.5,497,3,0,false,3,false
2484,95,0,0,33,3.030303,25,4,0,true,0,false
2485,27,0,1,0,0,1,100,0,false,2,false
2486,873,11,4,6,16.6666679,649,4,0,true,17,false
2487,62,0,0,37,18.9189186,14,14.2857151,0,true,0,false
2488,93,0,1,24,8.33333397,53,3.77358484,0,false,1,false
2489,201,0,0,18,16.6666679,22,9.090909,0,false,0,false
2490,569,0,0,35,2.85714293,49,4.08163261,0,true,18,false
2491,602,11,1,138,0.724637687,122,3,0,false,12,false
2492,156,0,0,815,16,5674,3,0,true,2,false
